feature,importance
automated_readability_index,0.18025231
flesch_kincaid_grade,0.062355205
gunning_fog,0.051113244
max_word_length,0.04913852
mean_sent_length,0.03436139
surprisal_range,0.028902564
min_surprisal,0.02840426
n_tokens,0.025825346
n_types,0.02567781
coleman_liau_index,0.025399068
dale_chall,0.024331206
std_word_length,0.021188257
max_sent_length,0.02117673
prop_noun,0.02054269
guiraud_index,0.020357553
max_syllables,0.020284586
mean_word_length,0.017909555
n_subclauses,0.017458951
prop_adj,0.017078431
std_surprisal,0.016749006
mean_tree_depth,0.016719533
max_surprisal,0.016368652
ttr,0.015917486
prop_long_words,0.015549562
max_tree_depth,0.015545022
smog_index,0.015449507
median_surprisal,0.015293708
prop_adv,0.01525311
mean_surprisal,0.015209386
prop_conj,0.01510051
flesch_reading_ease,0.014502938
mean_syllables,0.014333237
prop_verb,0.014196286
max_dep_distance,0.014166612
prop_adp,0.013951547
mean_dep_distance,0.013921552
perplexity,0.013646915
n_unique_pos,0.013515462
subclause_ratio,0.013080762
n_sentences,0.009771649
prop_rare_words,0.0
